Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
471	23R111092	316 Tall Timber Meadows Dr.	63021	0.31	1/25/2021	$603,000	$175.80	X	0.3813	1 / 2	Masonry and Frame	Conventional	2009	3,430	Full	4 / 10	3 / 1
472	23R110732	335 David Harrison Ln.	63021	0.26	11/12/2021	$610,000	$147.73	X	0.3021	1 / 2	Aluminum / Vinyl	Conventional	1998	4,129	Full	4 / 9	2 / 2
473	23R420877	205 Ries Rd.	63021	0.87	5/7/2021	$620,000	$168.84	X	0.2828	1 / 2	Aluminum / Vinyl	Conventional	2020	3,672	Full	3 / 9	3 / 1
474	23S321144	313 Covenant Place Ct.	63021	0.33	6/23/2021	$630,000	$135.45	X	0.2349	1 / 2	Aluminum / Vinyl	Conventional	2002	4,651	Full	4 / 9	4 / 1
475	23S230662	754 Stoney Creek Ln.	63021	0.89	6/10/2022	$670,000	$137.29	X	0.1977	1 / 2	Masonry and Frame	Conventional	2001	4,880	Full	5 / 11	3 / 2
476	23R110714	359 David Harrison Ln.	63021	0.29	2/4/2022	$682,000	$157.65	X	0.3818	1 / 2	Masonry and Frame	Conventional	1999	4,326	Full	4 / 10	3 / 2
477	23R110888	276 Ries Rd.	63021	0.33	9/29/2021	$695,000	$171.60	X	0.5342	1 / 2	Aluminum / Vinyl	Conventional	2009	4,050	Full	4 / 9	3 / 1
478	23R120926	152 Barker Ln.	63021	0.61	9/28/2021	$785,000	$136.56	X	0.4742	1 / 2	Aluminum / Vinyl	Conventional	2007	5,748	Full	4 / 12	4 / 1
479	23R421050	276 Essen Ct.	63021	0.80	5/4/2022	$815,000	$201.53	X	0.2871	1 / 2	Aluminum / Vinyl	Conventional	2021	4,044	Full	4 / 9	4 / 1
480	23R120825	261 Pointe Lansing Ct.	63021	0.55	11/15/2021	$998,500	$153.70	X	0.5376	1 / 2	Aluminum / Vinyl	Conventional	2007	6,496	Full	5 / 12	4 / 1
481	23R110879	282 Ries Rd.	63021	0.31	10/1/2021	$1,150,000	$192.24	X	0.6388	1 / 2	Aluminum / Vinyl	Conventional	2011	5,982	Full	4 / 8	4 / 1
482	23R120834	168 Pointe Lansing Cir.	63021	0.51	8/26/2022	$1,250,000	$203.11	2	0.5471	1 / 2	Masonry and Frame	Conventional	2009	6,154	Full	4 / 14	3 / 2
483	23R130248	243 Howard Dr.	63021	0.50	4/11/2022	$12,307,371	$9767.75	1	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
